centroid_x,centroid_y,rainfall_value,biome_value,rhino_value,distance_to_road,distance_to_water_hole,distance_to_poaching_area,V,RiskFire,RiskPoaching,R
1605473.8758166605,-2156019.413791975,11,2,117.0,2333.0164853574706,8790.227684683146,125.37369678558731,0.49,0.45088374854761853,0.39479376568545044,0.17800609297548606
1605473.8758166605,-2155019.413791975,11,2,98.0,2560.9512448532823,9725.397453765843,913.7785814239819,0.49,0.4491769693886936,0.3233117591554417,0.14522419614516852
1605473.8758166605,-2154019.413791975,11,2,80.0,2951.901178882959,10266.576322497878,1702.1834660623763,0.49,0.44624952997111245,0.2598901360992616,0.11597585107842392
1605473.8758166605,-2153019.413791975,11,2,63.0,3368.258217231999,10286.290912932653,2490.5883507007707,0.49,0.44313184174621095,0.20350701897795467,0.09018044012798215
1606473.8758166605,-2185019.413791975,12,2,73.0,4592.268700862946,10071.66534102045,2425.771111014055,0.49,0.4321430431165538,0.23686749360306056,0.10236063950101744
1606473.8758166605,-2184019.413791975,12,2,88.0,3745.4140188049546,9093.133189999839,1523.355255012823,0.49,0.4384576606915676,0.29255307324314883,0.12827213612231989
1606473.8758166605,-2183019.413791975,12,2,102.0,2993.026809988427,8119.833722474904,869.9752771889578,0.49,0.4440678764613649,0.3466915416043902,0.1539545766673785
1606473.8758166605,-2182019.413791975,12,2,116.0,2421.8330755626725,7153.903001173882,563.2273299337857,0.49,0.4483270133245837,0.40199653002770663,0.18022590367416805
1606473.8758166605,-2181019.413791975,12,2,128.0,2036.4990192458079,6198.786705458472,256.625690736908,0.49,0.45120027748173125,0.452045943161787,0.2039632549890892
1606473.8758166605,-2180019.413791975,12,2,138.0,1403.4060519187417,5260.378797133599,0.0,0.49,0.4559209693109197,0.49621287035932504,0.2262338528387772
1606473.8758166605,-2179019.413791975,12,2,144.0,785.7151631493615,4349.5072777151145,0.0,0.49,0.46052681471130197,0.5259116174688756,0.24219640201261
1606473.8758166605,-2178019.413791975,12,2,148.0,607.9491717823776,3487.813359178034,0.0,0.49,0.46185233640600143,0.548419411782647,0.2532887866622205
1606473.8758166605,-2177019.413791975,12,2,150.0,138.87910500086682,2722.4016048380486,0.0,0.49,0.46534998263783584,0.562941823540721,0.26196496781078615
1606473.8758166605,-2176019.413791975,12,2,150.0,796.5694607051778,2158.2629514470204,0.0,0.49,0.4604458790566229,0.5681831606033699,0.261617594849189
1606473.8758166605,-2175019.413791975,12,2,149.0,1415.932938734906,1976.0383187460773,0.0,0.49,0.45582756190428253,0.5660770108168877,0.2580335036907261
1606473.8758166605,-2174019.413791975,12,2,149.0,1511.9748263828458,2269.6598658646726,0.0,0.49,0.45511142039319663,0.5633671988026474,0.25639484605000923
1606473.8758166605,-2173019.413791975,12,2,150.0,1417.8406705019872,2655.1402519218245,0.0,0.49,0.4558133367995508,0.5635667398087424,0.2568812361814671
1606473.8758166605,-2172019.413791975,12,2,154.0,1288.1460154873723,2750.6547461032483,0.0,0.49,0.45678041198410363,0.5776841094328747,0.26387478550341853
1606473.8758166605,-2171019.413791975,12,2,159.0,1749.0109285750202,3175.2847600089603,0.0,0.49,0.4533439479229754,0.5922581952776176,0.26849666843689163
1606473.8758166605,-2170019.413791975,12,2,167.0,1497.9578783079148,3820.833035089337,0.0,0.49,0.4552159385219114,0.6153799070717243,0.2801307419451816
1606473.8758166605,-2169019.413791975,12,2,176.0,1231.5297161837495,4595.116631481167,0.0,0.49,0.457202574470997,0.6401034085591832,0.292656926320919
1606473.8758166605,-2168019.413791975,12,2,187.0,893.85764610416,4465.020622365664,0.0,0.49,0.4597204444591915,0.681616723436835,0.3133531430491996
1606473.8758166605,-2167019.413791975,12,2,197.0,697.7784274457118,3640.283236685821,0.0,0.49,0.46118251972011665,0.72813026531211,0.33580095044111596
1606473.8758166605,-2166019.413791975,12,2,207.0,400.40112099171495,2926.929266046744,0.0,0.49,0.4633999296317928,0.7742373863226277,0.35878155034020887
1606473.8758166605,-2165019.413791975,12,2,214.0,137.04457393733657,2425.3180850325734,0.0,0.49,0.4653636619175766,0.8070681680340211,0.37558019809342214
1606473.8758166605,-2164019.413791975,12,2,218.0,63.383538633590575,2279.7852308345196,0.0,0.49,0.46591291939702084,0.8241186446586648,0.38396752366243453
1606473.8758166605,-2163019.413791975,12,2,219.0,251.88071030235955,2551.9940407211648,0.0,0.49,0.464507380078082,0.8242065839701113,0.3828500409630621
1606473.8758166605,-2162019.413791975,12,2,217.0,574.5918490992981,3134.9523870421817,0.0,0.49,0.4621010670802632,0.8088441640972609,0.3737677513309878
1606473.8758166605,-2161019.413791975,12,2,210.0,767.5093562747087,3891.4238209383734,0.0,0.49,0.4606625672914006,0.7729128314485357,0.35605200922754804
1606473.8758166605,-2160019.413791975,12,2,199.0,1136.7246665185023,4739.03283796512,0.0,0.49,0.4579094934330099,0.7219793914573993,0.3306012174113305
1606473.8758166605,-2159019.413791975,12,2,184.0,1815.5231709461514,5636.815157911148,0.0,0.49,0.45284799580329216,0.6573269918580746,0.29766921085033604
1606473.8758166605,-2158019.413791975,12,2,167.0,2496.8790358943756,6564.216481012949,0.0,0.49,0.44776742907703276,0.5870028105306591,0.2628407393323058
1606473.8758166605,-2157019.413791975,12,2,148.0,3092.463883365549,7510.272358226907,0.0,0.49,0.4433264185649178,0.5115455762509071,0.2267816682520417
1606473.8758166605,-2156019.413791975,12,2,127.0,3311.634134411748,8468.733304331427,0.0,0.49,0.44169216377658355,0.43142189675462045,0.19055567107814614
